event_number,keyword1,keyword2,keyword3,keyword4,item,number,sad_memory_loop.thisRepN,sad_memory_loop.thisTrialN,sad_memory_loop.thisN,sad_memory_loop.thisIndex,think_content_loop.thisRepN,think_content_loop.thisTrialN,think_content_loop.thisN,think_content_loop.thisIndex,thisRow.t,notes,welcome_screen.started,text_welcome.started,key_resp_welcome.started,welcome_screen.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,refresh.stopped,wait4trigger_scanner.started,wait4trigger_text.started,wait4trigger_scanner.stopped,fake_stimulus.started,fake_stimulus_text.started,fake_stimulus.stopped,sad_memory.started,background.started,sad_memory.stopped,emotional_level.started,rate_emotion_prompt.started,slider_emotion.started,key_resp_emotion.started,emotional_level.stopped,slider_emotion.response,slider_emotion.rt,Rating,key_resp_emotion.keys,key_resp_emotion.rt,key_resp_emotion.duration,text_refresh.stopped,think_content.started,main_body_questionnaire.started,item_text.started,slider_thinking_content.started,key_resp_thinking_content.started,think_content.stopped,slider_thinking_content.response,slider_thinking_content.rt,key_resp_thinking_content.keys,key_resp_thinking_content.rt,key_resp_thinking_content.duration,goodbye.started,goodbye_text.started,key_resp_goodbye.started,goodbye.stopped,key_resp_goodbye.keys,key_resp_goodbye.rt,key_resp_goodbye.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.022830509000414168,0.038628062000498176,0.038628062000498176,3.276754272999824,a,-9889.221173716,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2024-08-21_11h24.35.966,sad_memory_demo,2024.1.3,None,2024-08-21 11h24.43.950351 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,3.2767762540006515,3.2865704739997454,3.5845279330005724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2024-08-21_11h24.35.966,sad_memory_demo,2024.1.3,None,2024-08-21 11h24.43.950351 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5845417920008913,3.6008737129996007,4.584886550999727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2024-08-21_11h24.35.966,sad_memory_demo,2024.1.3,None,2024-08-21 11h24.43.950351 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.584900653000659,4.601417080999454,6.584619531000499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2024-08-21_11h24.35.966,sad_memory_demo,2024.1.3,None,2024-08-21 11h24.43.950351 -0400,
4,homeless,street,shout,chase,,,0,0,0,3,,,,,6.628374707999683,,,,,,,,,,,,,,,,,,6.593201273999512,6.628374707999683,9.584595603999333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2024-08-21_11h24.35.966,sad_memory_demo,2024.1.3,None,2024-08-21 11h24.43.950351 -0400,
1,London,None,None,None,,,0,1,1,0,,,,,9.60765130099935,,,,,,,,,,,,,,,,,,9.584850274999553,9.60765130099935,12.584816283000691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2024-08-21_11h24.35.966,sad_memory_demo,2024.1.3,None,2024-08-21 11h24.43.950351 -0400,
3,scream,siren,gun,None,,,0,2,2,2,,,,,12.614134137000292,,,,,,,,,,,,,,,,,,12.58501413399972,12.614134137000292,15.585645723000198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2024-08-21_11h24.35.966,sad_memory_demo,2024.1.3,None,2024-08-21 11h24.43.950351 -0400,
2,door,noise,None,None,,,0,3,3,1,,,,,15.614613109000857,,,,,,,,,,,,,,,,,,15.585872413999823,15.614613109000857,18.585611788999813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2024-08-21_11h24.35.966,sad_memory_demo,2024.1.3,None,2024-08-21 11h24.43.950351 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,18.585687590000816,18.602473531000214,18.885904643000686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2024-08-21_11h24.35.966,sad_memory_demo,2024.1.3,None,2024-08-21 11h24.43.950351 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.88591885599999,18.95177673699982,18.95177673699982,18.95177673699982,20.97861909600033,None,None,6.0,a,-9890.460887569,None,,,,,,,,,,,,,,,,,,,,001,001,2024-08-21_11h24.35.966,sad_memory_demo,2024.1.3,None,2024-08-21 11h24.43.950351 -0400,
