prompt_number,prompt,item,number,distraction_loop.thisRepN,distraction_loop.thisTrialN,distraction_loop.thisN,distraction_loop.thisIndex,think_content_loop.thisRepN,think_content_loop.thisTrialN,think_content_loop.thisN,think_content_loop.thisIndex,thisRow.t,notes,welcome_screen.started,text_welcome.started,key_resp_welcome.started,welcome_screen.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,refresh.stopped,wait4trigger_scanner.started,wait4trigger_text.started,wait4trigger_scanner.stopped,fake_stimulus.started,fake_stimulus_text.started,fake_stimulus.stopped,distraction.started,prompt_constant.started,prompts.started,distraction.stopped,emotional_level.started,rate_emotion_prompt.started,slider_emotion.started,key_resp_emotion.started,emotional_level.stopped,slider_emotion.response,slider_emotion.rt,Rating,key_resp_emotion.keys,key_resp_emotion.rt,key_resp_emotion.duration,text_refresh.stopped,think_content.started,main_body_questionnaire.started,item_text.started,slider_thinking_content.started,key_resp_thinking_content.started,think_content.stopped,slider_thinking_content.response,slider_thinking_content.rt,key_resp_thinking_content.keys,key_resp_thinking_content.rt,key_resp_thinking_content.duration,goodbye.started,goodbye_text.started,key_resp_goodbye.started,goodbye.stopped,key_resp_goodbye.keys,key_resp_goodbye.rt,key_resp_goodbye.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.019158946999596083,0.03398258199922566,0.03398258199922566,2.3677663049984403,a,-14819.804913236001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-08-21_12h46.48.576,distraction_demo,2024.1.3,None,2024-08-21 12h46.53.655222 -0400,
,,,,,,,,,,,,,,,,,,,,,2.367792262999501,2.381644591998338,2.6746679289990425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-08-21_12h46.48.576,distraction_demo,2024.1.3,None,2024-08-21 12h46.53.655222 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,2.674682317998304,2.6917142839993176,3.673740940999778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-08-21_12h46.48.576,distraction_demo,2024.1.3,None,2024-08-21 12h46.53.655222 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,3.673756295998828,3.6820814449984027,5.6751772629995685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-08-21_12h46.48.576,distraction_demo,2024.1.3,None,2024-08-21 12h46.53.655222 -0400,
1,What contributes to team spirit,,,0,0,0,0,,,,,5.700105961999725,,,,,,,,,,,,,,,,,,5.681115526998838,5.700105961999725,5.700105961999725,10.673153851999814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-08-21_12h46.48.576,distraction_demo,2024.1.3,None,2024-08-21 12h46.53.655222 -0400,
3,How someone develops common sense,,,0,1,1,2,,,,,10.689037297999676,,,,,,,,,,,,,,,,,,10.6733486969988,10.689037297999676,10.689037297999676,15.675805913999284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-08-21_12h46.48.576,distraction_demo,2024.1.3,None,2024-08-21 12h46.53.655222 -0400,
4,Why you like the books you do,,,0,2,2,3,,,,,15.69403007999972,,,,,,,,,,,,,,,,,,15.67597552999905,15.69403007999972,15.69403007999972,20.674520162998306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-08-21_12h46.48.576,distraction_demo,2024.1.3,None,2024-08-21 12h46.53.655222 -0400,
2,What makes a joke funny,,,0,3,3,1,,,,,20.69131315999948,,,,,,,,,,,,,,,,,,20.67471725299947,20.69131315999948,20.69131315999948,25.67570632799834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-08-21_12h46.48.576,distraction_demo,2024.1.3,None,2024-08-21 12h46.53.655222 -0400,
,,,,,,,,,,,,,,,,,,,,,25.675763533999998,25.692793205998896,25.97550186599983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-08-21_12h46.48.576,distraction_demo,2024.1.3,None,2024-08-21 12h46.53.655222 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.975517847999072,26.04713074599931,26.04713074599931,26.04713074599931,28.667170266999165,None,None,2.0,a,-14819.537086385,None,,,,,,,,,,,,,,,,,,,,999,001,2024-08-21_12h46.48.576,distraction_demo,2024.1.3,None,2024-08-21 12h46.53.655222 -0400,
,,,,,,,,,,,,,,,,,,,,,28.66720460599936,28.674819053998363,28.9611250199996,,,,,,,,,,,,,,,,,,,,,,29.035718379998798,,,,,,,,,,,,,,,,,,,999,001,2024-08-21_12h46.48.576,distraction_demo,2024.1.3,None,2024-08-21 12h46.53.655222 -0400,
,,were about the past,1,,,,,0,0,0,0,29.035718379998798,,,,,,,,,30.03235111199865,30.04014883599848,30.33472063699992,,,,,,,,,,,,,,,,,,8.0,,,,,28.967441398999654,29.035718379998798,29.035718379998798,29.035718379998798,29.035718379998798,30.03176336499928,None,None,a,-14821.137474513002,None,,,,,,,,999,001,2024-08-21_12h46.48.576,distraction_demo,2024.1.3,None,2024-08-21 12h46.53.655222 -0400,
