prompt_number,prompt,thisN,thisTrialN,thisRepN,item,number,slider_thinking_content.response,slider_thinking_content.rt,key_resp_thinking_content.keys,key_resp_thinking_content.rt,key_resp_thinking_content.duration,distraction_loop.thisRepN,distraction_loop.thisTrialN,distraction_loop.thisN,distraction_loop.thisIndex,think_content_loop.thisRepN,think_content_loop.thisTrialN,think_content_loop.thisN,think_content_loop.thisIndex,thisRow.t,notes,welcome_screen.started,text_welcome.started,key_resp_welcome.started,welcome_screen.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,text_refresh.stopped,refresh.stopped,wait4trigger_scanner.started,wait4trigger_text.started,wait4trigger_text.stopped,wait4trigger_scanner.stopped,fake_stimulus.started,fake_stimulus_text.started,fake_stimulus_text.stopped,fake_stimulus.stopped,distraction.started,prompt_constant.started,prompts.started,distraction.stopped,emotional_level.started,rate_emotion_prompt.started,slider_emotion.started,key_resp_emotion.started,emotional_level.stopped,slider_emotion.response,slider_emotion.rt,Rating,key_resp_emotion.keys,key_resp_emotion.rt,key_resp_emotion.duration,think_content.started,main_body_questionnaire.started,item_text.started,slider_thinking_content.started,key_resp_thinking_content.started,think_content.stopped,think_content_loop.slider_thinking_content.response,think_content_loop.slider_thinking_content.rt,think_content_loop.key_resp_thinking_content.keys,think_content_loop.key_resp_thinking_content.rt,think_content_loop.key_resp_thinking_content.duration,goodbye.started,goodbye_text.started,key_resp_goodbye.started,goodbye.stopped,key_resp_goodbye.keys,key_resp_goodbye.rt,key_resp_goodbye.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.01691690000006929,0.03368029999546707,0.03368029999546707,10.629725100006908,a,10.587242900015553,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h38.28.776,distraction_demo,2024.2.4,59.9258118416256,2024-10-31 10h38.32.722342 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.629759100003866,10.643888299993705,10.942974700010382,10.926620400015963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h38.28.776,distraction_demo,2024.2.4,59.9258118416256,2024-10-31 10h38.32.722342 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.926643300015712,10.942974700010382,11.943809599993983,11.927646600001026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h38.28.776,distraction_demo,2024.2.4,59.9258118416256,2024-10-31 10h38.32.722342 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.927672299992992,11.943809599993983,13.952511000010418,13.929280500015011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h38.28.776,distraction_demo,2024.2.4,59.9258118416256,2024-10-31 10h38.32.722342 -0400,
3,How someone develops common sense,0,0,0,,,,,,,,0,0,0,2,,,,,13.952511000010418,,,,,,,,,,,,,,,,,,,,,13.93737240001792,13.952511000010418,13.952511000010418,18.93368489999557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h38.28.776,distraction_demo,2024.2.4,59.9258118416256,2024-10-31 10h38.32.722342 -0400,
4,Why you like the books you do,1,1,0,,,,,,,,0,1,1,3,,,,,18.95137260001502,,,,,,,,,,,,,,,,,,,,,18.93774530000519,18.95137260001502,18.95137260001502,23.937048799998593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h38.28.776,distraction_demo,2024.2.4,59.9258118416256,2024-10-31 10h38.32.722342 -0400,
1,What contributes to team spirit,2,2,0,,,,,,,,0,2,2,0,,,,,23.95423150001443,,,,,,,,,,,,,,,,,,,,,23.940639300009934,23.95423150001443,23.95423150001443,28.941958000010345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h38.28.776,distraction_demo,2024.2.4,59.9258118416256,2024-10-31 10h38.32.722342 -0400,
2,What makes a joke funny,3,3,0,,,,,,,,0,3,3,1,,,,,28.95861510001123,,,,,,,,,,,,,,,,,,,,,28.94603890000144,28.95861510001123,28.95861510001123,33.945537399995374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h38.28.776,distraction_demo,2024.2.4,59.9258118416256,2024-10-31 10h38.32.722342 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.94560740000452,33.961923599999864,,34.24567360000219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h38.28.776,distraction_demo,2024.2.4,59.9258118416256,2024-10-31 10h38.32.722342 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.24650969999493,34.273192499997094,34.273192499997094,34.273192499997094,35.632064900011756,None,None,5.0,a,1.3514994999859482,None,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h38.28.776,distraction_demo,2024.2.4,59.9258118416256,2024-10-31 10h38.32.722342 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.6321023000055,35.64647760000662,35.95977010001661,35.93131529999664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h38.28.776,distraction_demo,2024.2.4,59.9258118416256,2024-10-31 10h38.32.722342 -0400,
,,0,0,0,were about the past,1,None,None,a,2.1516114000114612,None,,,,,0,0,0,0,35.95977010001661,,,,,,,,,38.12377450001077,38.13327940000454,38.44538270001067,38.416758700012,,,,,,,,,,,,,,,,,,,,7.0,,,,35.94011550000869,35.95977010001661,35.95977010001661,35.95977010001661,35.95977010001661,38.12372000000323,None,None,a,2.1516114000114612,None,,,,,,,,999,001,2024-10-31_10h38.28.776,distraction_demo,2024.2.4,59.9258118416256,2024-10-31 10h38.32.722342 -0400,
,,1,1,0,were about the future,2,None,None,a,0.8436108999885619,None,,,,,0,1,1,1,38.44538270001067,,,,,,,,,39.2902066000097,39.299613300012425,39.60847410000861,39.58432550000725,,,,,,,,,,,,,,,,,,,,2.0,,,,38.422446000011405,38.44538270001067,38.44538270001067,38.44538270001067,38.44538270001067,39.290162099990994,None,None,a,0.8436108999885619,None,,,,,,,,999,001,2024-10-31_10h38.28.776,distraction_demo,2024.2.4,59.9258118416256,2024-10-31 10h38.32.722342 -0400,
,,2,2,0,were about myself,3,None,None,a,0.6350951000058558,None,,,,,0,2,2,2,39.60847410000861,,,,,,,,,40.25625299999956,40.267219600005774,40.57293039999786,40.55183509999188,,,,,,,,,,,,,,,,,,,,7.0,,,,39.58987860000343,39.60847410000861,39.60847410000861,39.60847410000861,39.60847410000861,40.256204400007846,None,None,a,0.6350951000058558,None,,,,,,,,999,001,2024-10-31_10h38.28.776,distraction_demo,2024.2.4,59.9258118416256,2024-10-31 10h38.32.722342 -0400,
,,3,3,0,were about others,4,None,None,a,0.5787867000035476,None,,,,,0,3,3,3,40.57293039999786,,,,,,,,,41.15828750000219,41.167623699991964,41.47810939999181,41.45249560000957,,,,,,,,,,,,,,,,,,,,4.0,,,,40.55630430000019,40.57293039999786,40.57293039999786,40.57293039999786,40.57293039999786,41.1582422000065,None,None,a,0.5787867000035476,None,,,,,,,,999,001,2024-10-31_10h38.28.776,distraction_demo,2024.2.4,59.9258118416256,2024-10-31 10h38.32.722342 -0400,
,,4,4,0,were positive,5,None,None,a,0.450857999996515,None,,,,,0,4,4,4,41.47810939999181,,,,,,,,,41.939325100014685,41.95174580000457,42.265053800016176,42.23766549999709,,,,,,,,,,,,,,,,,,,,6.0,,,,41.45788140001241,41.47810939999181,41.47810939999181,41.47810939999181,41.47810939999181,41.93927360000089,None,None,a,0.450857999996515,None,,,,,,,,999,001,2024-10-31_10h38.28.776,distraction_demo,2024.2.4,59.9258118416256,2024-10-31 10h38.32.722342 -0400,
,,5,5,0,were negative,6,None,None,a,0.5306430999771692,None,,,,,0,5,5,5,42.265053800016176,,,,,,,,,42.81243680001353,42.822733500011964,,43.119907200016314,,,,,,,,,,,,,,,,,,,,4.0,,,,42.24301979999291,42.265053800016176,42.265053800016176,42.265053800016176,42.265053800016176,42.81235550000565,None,None,a,0.5306430999771692,None,,,,,,,,999,001,2024-10-31_10h38.28.776,distraction_demo,2024.2.4,59.9258118416256,2024-10-31 10h38.32.722342 -0400,
,,6,6,0,were in the form of images,7,None,None,a,0.6955801000003703,None,,,,,0,6,6,6,43.143782200000715,,,,,,,,,43.84078150001005,43.85655019999831,,44.15633800000069,,,,,,,,,,,,,,,,,,,,6.0,,,,43.12506029999349,43.143782200000715,43.143782200000715,43.143782200000715,43.143782200000715,43.84071700001368,None,None,a,0.6955801000003703,None,,,,,,,,999,001,2024-10-31_10h38.28.776,distraction_demo,2024.2.4,59.9258118416256,2024-10-31 10h38.32.722342 -0400,
,,7,7,0,were in the form of words,8,None,None,a,0.25500990002183244,None,,,,,0,7,7,7,44.185226300003706,,,,,,,,,44.44449170000735,44.45598319999408,,44.756251999991946,,,,,,,,,,,,,,,,,,,,5.0,,,,44.162111100013135,44.185226300003706,44.185226300003706,44.185226300003706,44.185226300003706,44.44443420000607,None,None,a,0.25500990002183244,None,,,,,,,,999,001,2024-10-31_10h38.28.776,distraction_demo,2024.2.4,59.9258118416256,2024-10-31 10h38.32.722342 -0400,
,,8,8,0,made me feel happy,9,None,None,a,0.46456779999425635,None,,,,,0,8,8,8,44.78019459999632,,,,,,,,,45.26044820001698,45.27103800000623,45.57557380001526,45.55652790001477,,,,,,,,,,,,,,,,,,,,5.0,,,,44.76095640001586,44.78019459999632,44.78019459999632,44.78019459999632,44.78019459999632,45.26038819999667,None,None,a,0.46456779999425635,None,,,,,,,,999,001,2024-10-31_10h38.28.776,distraction_demo,2024.2.4,59.9258118416256,2024-10-31 10h38.32.722342 -0400,
,,9,9,0,made me feel sad,10,None,None,a,0.3362193999928422,None,,,,,0,9,9,9,45.57557380001526,,,,,,,,,45.926241800014395,45.937994000007166,46.23875650000991,46.22343060001731,,,,,,,,,,,,,,,,,,,,5.0,,,,45.55986480001593,45.57557380001526,45.57557380001526,45.57557380001526,45.57557380001526,45.926173799991375,None,None,a,0.3362193999928422,None,,,,,,,,999,001,2024-10-31_10h38.28.776,distraction_demo,2024.2.4,59.9258118416256,2024-10-31 10h38.32.722342 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.223610400018515,46.23875650000991,46.23875650000991,50.444762099999934,a,4.194998899998609,None,999,001,2024-10-31_10h38.28.776,distraction_demo,2024.2.4,59.9258118416256,2024-10-31 10h38.32.722342 -0400,
