event_number,keyword1,keyword2,keyword3,keyword4,thisN,thisTrialN,thisRepN,item,number,slider_thinking_content.response,slider_thinking_content.rt,key_resp_thinking_content.keys,key_resp_thinking_content.rt,key_resp_thinking_content.duration,sad_memory_loop.thisRepN,sad_memory_loop.thisTrialN,sad_memory_loop.thisN,sad_memory_loop.thisIndex,think_content_loop.thisRepN,think_content_loop.thisTrialN,think_content_loop.thisN,think_content_loop.thisIndex,thisRow.t,notes,welcome_screen.started,text_welcome.started,key_resp_welcome.started,welcome_screen.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,text_refresh.stopped,refresh.stopped,wait4trigger_scanner.started,wait4trigger_text.started,wait4trigger_scanner.stopped,fake_stimulus.started,fake_stimulus_text.started,fake_stimulus.stopped,sad_memory.started,background.started,sad_memory.stopped,emotional_level.started,rate_emotion_prompt.started,slider_emotion.started,key_resp_emotion.started,emotional_level.stopped,slider_emotion.response,slider_emotion.rt,Rating,key_resp_emotion.keys,key_resp_emotion.rt,key_resp_emotion.duration,think_content.started,main_body_questionnaire.started,item_text.started,slider_thinking_content.started,key_resp_thinking_content.started,think_content.stopped,think_content_loop.slider_thinking_content.response,think_content_loop.slider_thinking_content.rt,think_content_loop.key_resp_thinking_content.keys,think_content_loop.key_resp_thinking_content.rt,think_content_loop.key_resp_thinking_content.duration,goodbye.started,goodbye_text.started,key_resp_goodbye.started,goodbye.stopped,key_resp_goodbye.keys,key_resp_goodbye.rt,key_resp_goodbye.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.016244799975538626,0.03219079997506924,0.03219079997506924,12.295925699989311,a,12.166793899988988,0.08374920001369901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h52.48.348,sad_memory_demo,2024.2.4,61.12730985731465,2024-10-31 10h52.54.392813 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.295960699993884,12.311960599996382,12.612676099990495,12.596143999980995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h52.48.348,sad_memory_demo,2024.2.4,61.12730985731465,2024-10-31 10h52.54.392813 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.596167799987597,12.612676099990495,13.597031899989815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h52.48.348,sad_memory_demo,2024.2.4,61.12730985731465,2024-10-31 10h52.54.392813 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.597066499991342,13.613382699986687,15.598799999977928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h52.48.348,sad_memory_demo,2024.2.4,61.12730985731465,2024-10-31 10h52.54.392813 -0400,
2,door,noise,None,None,0,0,0,,,,,,,,0,0,0,1,,,,,15.623638299992308,,,,,,,,,,,,,,,,,,,15.612000699999044,15.623638299992308,18.600855600001523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h52.48.348,sad_memory_demo,2024.2.4,61.12730985731465,2024-10-31 10h52.54.392813 -0400,
3,scream,siren,gun,None,1,1,0,,,,,,,,0,1,1,2,,,,,18.623596699995687,,,,,,,,,,,,,,,,,,,18.61054019999574,18.623596699995687,21.60314069999731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h52.48.348,sad_memory_demo,2024.2.4,61.12730985731465,2024-10-31 10h52.54.392813 -0400,
4,homeless,street,shout,chase,2,2,0,,,,,,,,0,2,2,3,,,,,21.62883449997753,,,,,,,,,,,,,,,,,,,21.614689199981513,21.62883449997753,24.605857099988498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h52.48.348,sad_memory_demo,2024.2.4,61.12730985731465,2024-10-31 10h52.54.392813 -0400,
1,London,None,None,None,3,3,0,,,,,,,,0,3,3,0,,,,,24.626090299978387,,,,,,,,,,,,,,,,,,,24.614534399996046,24.626090299978387,27.60862199999974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h52.48.348,sad_memory_demo,2024.2.4,61.12730985731465,2024-10-31 10h52.54.392813 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.60887559998082,27.62564049998764,,27.908488199987914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h52.48.348,sad_memory_demo,2024.2.4,61.12730985731465,2024-10-31 10h52.54.392813 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.909680099983234,27.938249999977415,27.938249999977415,27.938249999977415,29.694562699995004,None,None,7.0,a,1.6787772999959998,0.07397269998909906,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h52.48.348,sad_memory_demo,2024.2.4,61.12730985731465,2024-10-31 10h52.54.392813 -0400,
