event_number,keyword1,keyword2,keyword3,keyword4,thisN,thisTrialN,thisRepN,item,number,slider_thinking_content.response,slider_thinking_content.rt,key_resp_thinking_content.keys,key_resp_thinking_content.rt,key_resp_thinking_content.duration,sad_memory_loop.thisRepN,sad_memory_loop.thisTrialN,sad_memory_loop.thisN,sad_memory_loop.thisIndex,think_content_loop.thisRepN,think_content_loop.thisTrialN,think_content_loop.thisN,think_content_loop.thisIndex,thisRow.t,notes,welcome_screen.started,text_welcome.started,key_resp_welcome.started,welcome_screen.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,text_refresh.stopped,refresh.stopped,wait4trigger_scanner.started,wait4trigger_text.started,wait4trigger_text.stopped,wait4trigger_scanner.stopped,fake_stimulus.started,fake_stimulus_text.started,fake_stimulus_text.stopped,fake_stimulus.stopped,sad_memory.started,background.started,sad_memory.stopped,emotional_level.started,rate_emotion_prompt.started,slider_emotion.started,key_resp_emotion.started,emotional_level.stopped,slider_emotion.response,slider_emotion.rt,Rating,key_resp_emotion.keys,key_resp_emotion.rt,key_resp_emotion.duration,think_content.started,main_body_questionnaire.started,item_text.started,slider_thinking_content.started,key_resp_thinking_content.started,think_content.stopped,think_content_loop.slider_thinking_content.response,think_content_loop.slider_thinking_content.rt,think_content_loop.key_resp_thinking_content.keys,think_content_loop.key_resp_thinking_content.rt,think_content_loop.key_resp_thinking_content.duration,goodbye.started,goodbye_text.started,key_resp_goodbye.started,goodbye.stopped,key_resp_goodbye.keys,key_resp_goodbye.rt,key_resp_goodbye.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.018774299998767674,0.03655369998887181,0.03655369998887181,9.830584699986503,a,9.790846000018064,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_11h17.54.727,sad_memory_demo,2024.2.4,61.09657352416887,2024-10-31 11h18.00.648097 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.830615799990483,9.841838499996811,10.142036300007021,10.130454700003611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_11h17.54.727,sad_memory_demo,2024.2.4,61.09657352416887,2024-10-31 11h18.00.648097 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.130481500003953,10.142036300007021,11.143509599991376,11.127997100003995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_11h17.54.727,sad_memory_demo,2024.2.4,61.09657352416887,2024-10-31 11h18.00.648097 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.128028599981917,11.143509599991376,13.155031100002816,13.128905899997335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_11h17.54.727,sad_memory_demo,2024.2.4,61.09657352416887,2024-10-31 11h18.00.648097 -0400,
2,door,noise,None,None,0,0,0,,,,,,,,0,0,0,1,,,,,13.155031100002816,,,,,,,,,,,,,,,,,,,,,13.141553499997826,13.155031100002816,16.130882099998416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_11h17.54.727,sad_memory_demo,2024.2.4,61.09657352416887,2024-10-31 11h18.00.648097 -0400,
3,scream,siren,gun,None,1,1,0,,,,,,,,0,1,1,2,,,,,16.153475400002208,,,,,,,,,,,,,,,,,,,,,16.140587300003972,16.153475400002208,19.1328852000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_11h17.54.727,sad_memory_demo,2024.2.4,61.09657352416887,2024-10-31 11h18.00.648097 -0400,
1,London,None,None,None,2,2,0,,,,,,,,0,2,2,0,,,,,19.150992499984568,,,,,,,,,,,,,,,,,,,,,19.138025399995968,19.150992499984568,22.13556160000735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_11h17.54.727,sad_memory_demo,2024.2.4,61.09657352416887,2024-10-31 11h18.00.648097 -0400,
4,homeless,street,shout,chase,3,3,0,,,,,,,,0,3,3,3,,,,,22.162154499994358,,,,,,,,,,,,,,,,,,,,,22.14809899998363,22.162154499994358,25.13808569998946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_11h17.54.727,sad_memory_demo,2024.2.4,61.09657352416887,2024-10-31 11h18.00.648097 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.138248000002932,25.154871100006858,,25.439086600003066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_11h17.54.727,sad_memory_demo,2024.2.4,61.09657352416887,2024-10-31 11h18.00.648097 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.441701400006423,25.46765750000486,25.46765750000486,25.46765750000486,28.775276000000304,None,None,7.0,a,3.302295100002084,None,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_11h17.54.727,sad_memory_demo,2024.2.4,61.09657352416887,2024-10-31 11h18.00.648097 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.775318500003777,28.790709799999604,29.112485499994364,29.07590799999889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_11h17.54.727,sad_memory_demo,2024.2.4,61.09657352416887,2024-10-31 11h18.00.648097 -0400,
,,,,,0,0,0,were about the past,1,None,None,s,1.0631299999949988,None,,,,,0,0,0,0,29.112485499994364,,,,,,,,,30.192977099999553,30.208622300007846,30.522821399994427,30.493837999994867,,,,,,,,,,,,,,,,,,,7.0,,,,29.089240600005724,29.112485499994364,29.112485499994364,29.112485499994364,29.112485499994364,30.192921899986686,None,None,s,1.0631299999949988,None,,,,,,,,999,001,2024-10-31_11h17.54.727,sad_memory_demo,2024.2.4,61.09657352416887,2024-10-31 11h18.00.648097 -0400,
,,,,,1,1,0,were about the future,2,None,None,s,0.6554502000217326,None,,,,,0,1,1,1,30.522821399994427,,,,,,,,,31.2117009999929,31.222203299985267,31.538310300005833,31.510723099985626,,,,,,,,,,,,,,,,,,,3.0,,,,30.50114519998897,30.522821399994427,30.522821399994427,30.522821399994427,30.522821399994427,31.211598399997456,None,None,s,0.6554502000217326,None,,,,,,,,999,001,2024-10-31_11h17.54.727,sad_memory_demo,2024.2.4,61.09657352416887,2024-10-31 11h18.00.648097 -0400,
,,,,,2,2,0,were about myself,3,None,None,s,0.6433749000134412,None,,,,,0,2,2,2,31.538310300005833,,,,,,,,,32.19849479998811,32.21031170000788,32.517006100009894,32.494862299994566,,,,,,,,,,,,,,,,,,,4.0,,,,31.515581099985866,31.538310300005833,31.538310300005833,31.538310300005833,31.538310300005833,32.19844390000799,None,None,s,0.6433749000134412,None,,,,,,,,999,001,2024-10-31_11h17.54.727,sad_memory_demo,2024.2.4,61.09657352416887,2024-10-31 11h18.00.648097 -0400,
,,,,,3,3,0,were about others,4,None,None,a,0.2650994999858085,None,,,,,0,3,3,3,32.517006100009894,,,,,,,,,32.79883260000497,32.810611799999606,33.12001089999103,33.09560629999032,,,,,,,,,,,,,,,,,,,5.0,,,,32.498899600002915,32.517006100009894,32.517006100009894,32.517006100009894,32.517006100009894,32.79878379998263,None,None,a,0.2650994999858085,None,,,,,,,,999,001,2024-10-31_11h17.54.727,sad_memory_demo,2024.2.4,61.09657352416887,2024-10-31 11h18.00.648097 -0400,
,,,,,4,4,0,were positive,5,None,None,s,0.31846839998615906,None,,,,,0,4,4,4,33.12001089999103,,,,,,,,,33.44641619999311,33.461342599999625,33.77721629998996,33.74599860000308,,,,,,,,,,,,,,,,,,,5.0,,,,33.10040249998565,33.12001089999103,33.12001089999103,33.12001089999103,33.12001089999103,33.44636420000461,None,None,s,0.31846839998615906,None,,,,,,,,999,001,2024-10-31_11h17.54.727,sad_memory_demo,2024.2.4,61.09657352416887,2024-10-31 11h18.00.648097 -0400,
,,,,,5,5,0,were negative,6,None,None,s,0.6095277999993414,None,,,,,0,5,5,5,33.77721629998996,,,,,,,,,34.39713349999511,34.4120064000017,34.72001679998357,34.697240299981786,,,,,,,,,,,,,,,,,,,6.0,,,,33.75315380000393,33.77721629998996,33.77721629998996,33.77721629998996,33.77721629998996,34.39708389999578,None,None,s,0.6095277999993414,None,,,,,,,,999,001,2024-10-31_11h17.54.727,sad_memory_demo,2024.2.4,61.09657352416887,2024-10-31 11h18.00.648097 -0400,
,,,,,6,6,0,were in the form of images,7,None,None,a,1.238464699999895,None,,,,,0,6,6,6,34.72001679998357,,,,,,,,,35.97188949998235,35.98075809999136,36.29489230000763,36.2654782999889,,,,,,,,,,,,,,,,,,,4.0,,,,34.701428700005636,34.72001679998357,34.72001679998357,34.72001679998357,34.72001679998357,35.97184019998531,None,None,a,1.238464699999895,None,,,,,,,,999,001,2024-10-31_11h17.54.727,sad_memory_demo,2024.2.4,61.09657352416887,2024-10-31 11h18.00.648097 -0400,
,,,,,7,7,0,were in the form of words,8,None,None,s,0.5966696000250522,None,,,,,0,7,7,7,36.29489230000763,,,,,,,,,36.899947099998826,36.91432650000206,37.23239099999773,37.19951099998434,,,,,,,,,,,,,,,,,,,6.0,,,,36.27136189999874,36.29489230000763,36.29489230000763,36.29489230000763,36.29489230000763,36.89989470000728,None,None,s,0.5966696000250522,None,,,,,,,,999,001,2024-10-31_11h17.54.727,sad_memory_demo,2024.2.4,61.09657352416887,2024-10-31 11h18.00.648097 -0400,
,,,,,8,8,0,made me feel happy,9,None,None,s,0.69181469999603,None,,,,,0,8,8,8,37.23239099999773,,,,,,,,,37.93498349998845,37.948343099997146,38.255260000005364,38.23363119998248,,,,,,,,,,,,,,,,,,,4.0,,,,37.20568769998499,37.23239099999773,37.23239099999773,37.23239099999773,37.23239099999773,37.93493980000494,None,None,s,0.69181469999603,None,,,,,,,,999,001,2024-10-31_11h17.54.727,sad_memory_demo,2024.2.4,61.09657352416887,2024-10-31 11h18.00.648097 -0400,
,,,,,9,9,0,made me feel sad,10,None,None,a,0.4901724000228569,None,,,,,0,9,9,9,38.255260000005364,,,,,,,,,38.76013569999486,38.76922759998706,,39.06631490000291,,,,,,,,,,,,,,,,,,,6.0,,,,38.23760980000952,38.255260000005364,38.255260000005364,38.255260000005364,38.255260000005364,38.760091300006025,None,None,a,0.4901724000228569,None,,,,,,,,999,001,2024-10-31_11h17.54.727,sad_memory_demo,2024.2.4,61.09657352416887,2024-10-31 11h18.00.648097 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.06639249998261,39.08278659998905,39.08278659998905,39.45096309998189,s,0.3568356000178028,None,999,001,2024-10-31_11h17.54.727,sad_memory_demo,2024.2.4,61.09657352416887,2024-10-31 11h18.00.648097 -0400,
